Location,Total Weight,Ulth Offer,Total Value,Quantity,Item,aura,Category,Source,Appraise DC,Appraised Value,Die Roll,Ulthirmbor Multiplier,Value,Market,Weight,Party,M,Sale Value Per.,Estimated Value,Qty.,PC desc.,Total Weight.,Serial.,Source.,Location.,U,V,W
Already sold or on PC sheet,,0,0,1,+2 dagger,,,"Frost Giants, Lower Level",,,,,,,,?,,,,1,(magic) dagger,,1127,"Frost Giants, Lower Level",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,0,1,potion of shrink person,,,"Frost Giants, Lower Level",,,,,,,,?,,,,1,(magic) potion,,1128,"Frost Giants, Lower Level",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,0,1,potion of fire resistance,,,"Frost Giants, Lower Level",,,,,,,,?,,,,1,(magic) potion,,1129,"Frost Giants, Lower Level",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,9000,12,diamonds,,,"Frost Giants, Lower Level",,,,,750,1000,,?,,,,12,diamonds,,1130,"Frost Giants, Lower Level",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,1200,1,Silver belt,,,"Frost Giants, Upper Level",,,,,1200,1600,,?,,,,1,Silver belt,,1131,"Frost Giants, Upper Level",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,2250,1,"Necklace
",,,"Frost Giants, Upper Level",,,,,2250,3000,,?,,,,1,"Necklace
",,1132,"Frost Giants, Upper Level",Already sold or on PC sheet,,,
Already sold or on PC sheet,,0,4128,4128,Bag of gold,,,"Frost Giants, Upper Level",,,,,1,1,,?,,,,4128,Bag of gold,,1133,"Frost Giants, Upper Level",Already sold or on PC sheet,,,
Given to King of Ulthirmbor,0,0,1155,1,+1 battle axe (dwarven; from Gorthmund),faint evocation,armament,"Frost Giants, Upper Level",20,--,5,,1155,2310,,?,,,--,1,dwarf's (magic) battle axe [faint abjuration],,1134,"Frost Giants, Upper Level",Given to King of Ulthirmbor,,,
,0,0,35490,13,"wand of cold orb (13 charges; 7d6 cold; 7th CL), in a tube case, from an elf
",moderate conjuration,equipment,"Frost Giants, Upper Level",20,--,1,,2730,5460,,Y,,,--,13,elf's tube case with (magic) wand [moderate evocation],,1135,"Frost Giants, Upper Level",,,,
Already sold or on PC sheet,,0,5250,1,human's jeweled belt,,,"Frost Giants, Upper Level",,,,,5250,7000,,?,,,,1,human's jeweled belt,,1136,"Frost Giants, Upper Level",Already sold or on PC sheet,,,
,0,0,187.5,1,scroll of protection from energy (cl 5) in protective tube,faint abjuration,equipment,"Frost Giants, Upper Level",20,375,16,,187.5,375,,Y,,,375,1,scroll of protection from energy (cl 5) in protective tube,,1137,"Frost Giants, Upper Level",,,,
Already sold or on PC sheet,,0,370,37,"dwarf's pouch of gems
",,gem,"Frost Giants, Upper Level",,,,,10,10,,?,,,,37,"dwarf's pouch of gems
",,1138,"Frost Giants, Upper Level",Already sold or on PC sheet,,,
,0,0,6000,1,human's ring of minor energy resistance (fire),faint abjuration,jewelry,"Frost Giants, Upper Level",25,--,12,,6000,12000,,Y,,,--,1,human's (magic) ring [faint abj],,1139,"Frost Giants, Upper Level",,,,
,0,0,47.1,471,silver coins in a sack found on a half-elf's corpse,,coin,"Frost Giants, Upper Level",0,0.1,4,,0.1,0.1,,Y,,,47.1,471,silver coins in a sack found on a half-elf's corpse,,1140,"Frost Giants, Upper Level",,,,
,0,0,13325,1,"human's gleaming +2 plate armor of invulnerability (DR 5/magic)
human's gleaming armor of vulnerability (-2 AC when struck in combat)",strong abjuration,armament,"Frost Giants, Upper Level",25,--,2,,13325,26650,,Y,,,--,1,human's gleaming +2 plate armor of invulnerability (DR 5/-),,1141,"Frost Giants, Upper Level",,,,
,0,0,3000,3000,gold pieces,,coin,"Frost Giants, Upper Level",0,1,14,,1,1,,Y,,,3000,3000,gold pieces,,1142,"Frost Giants, Upper Level",,,,
Sold to Ulthirmbor,0,3200,3000,4,big gems,,gem,"Frost Giants, Upper Level",15,--,1,1.066666667,750,1000,,--,,,--,4,big gems,,1143,"Frost Giants, Upper Level",Sold to Ulthirmbor,,,
,0,0,187.5,1,"cure serious wounds scroll, divine (3d8 + 5)",faint conjuration,equipment,"Frost Giants, Upper Level",20,375,18,,187.5,375,,Y,,,375,1,"cure serious wounds scroll, divine (3d8 + 5)",,1144,"Frost Giants, Upper Level",,,,
,,0,0,1,"Ear collection chest
",,corpse,Hill Giant's Common Room,,,,,0,,,player,,,,1,"Ear collection chest
",,1145,Hill Giant's Common Room,,,,
,0,0,13,1300,copper pieces,,coin,"Frost Giants, Upper Level",0,0.01,6,,0.01,0.01,,Y,,,13,1300,copper pieces,,1146,"Frost Giants, Upper Level",,,,
Tryg's share,,0,211.1,2111,silver pieces,,,"Frost Giants, Upper Level",,,,,0.1,0.1,,--,,,,2111,silver pieces,,1147,"Frost Giants, Upper Level",Tryg's share,,,
Tryg's share,,0,316.8,792,electrum pieces,,,"Frost Giants, Upper Level",,,,,0.4,0.4,,--,,,,792,electrum pieces,,1148,"Frost Giants, Upper Level",Tryg's share,,,
Tryg's share,,0,5300,5300,gold pieces,,,"Frost Giants, Upper Level",,,,,1,1,,--,,,,5300,gold pieces,,1149,"Frost Giants, Upper Level",Tryg's share,,,
Tryg's share,,0,1575,6,silver jewelry,,,"Frost Giants, Upper Level",,,,,262.5,350,,--,,,,6,silver jewelry,,1150,"Frost Giants, Upper Level",Tryg's share,,,
Tryg's share,,0,3000,8,gold jewelry,,,"Frost Giants, Upper Level",,,,,375,500,,--,,,,8,gold jewelry,,1151,"Frost Giants, Upper Level",Tryg's share,,,
,0,0,0,1,barrel of skulls,,corpse,"Frost Giants, Upper Level",0,0,7,,0,0,,Y,,,0,1,barrel of skulls,,1152,"Frost Giants, Upper Level",,,,
,0,0,375,2,potions of cure serious wounds (3d8 + 5),moderate conjuration,equipment,"Frost Giants, Upper Level",20,--,3,,187.5,375,,Y,,,--,2,Potion of Cure Serious Wounds,,1153,"Frost Giants, Upper Level",,,,
Tryg's share,,0,5600,5600,gold pieces,,,"Frost Giants, Upper Level",,,,,1,1,,--,,,,5600,gold pieces,,1154,"Frost Giants, Upper Level",Tryg's share,,,
"Surfeit, Tallinn, Black Stag, Landorf",4,0,32000,4,belts of Giant Strength +4,moderate transmutation,garments,Frost Giant Jarl,25,--,19,,8000,16000,1,Y,,,--,4,(magic) belt [moderate transmutation]; one ID'd as Belt of Giant's Strength +4,4,1155,Frost Giant Jarl,"Surfeit, Tallinn, Black Stag, Landorf",,,
,96,0,16,8,large ice spears w/ purple worm poison,,armament,Frost Giant Jarl,15,4,13,,2,4,12,Y,,,32,8,ice spears,96,1156,Frost Giant Jarl,,,,
,0,0,3500,10,Purple worm poison doses,,contraband,Frost Giant Jarl,20,700,19,,350,700,,Y,,,not ID'd,10,poison doses,,1157,Frost Giant Jarl,,,,
,0,0,480,8,Blue Whinnis poison doses,,contraband,Frost Giant Jarl,20,--,11,,60,120,,Y,,,not ID'd,8,poison doses,,1158,Frost Giant Jarl,,,,
,4,0,4,2,large daggers w/ black lotus extract,,armament,Frost Giant Jarl,15,--,9,,2,4,2,Y,,,--,2,large daggers,4,1159,Frost Giant Jarl,,,,
,0,0,2500,2,black lotus extract doses,,contraband,Frost Giant Jarl,20,--,1,,1250,2500,,Y,,,not ID'd,2,poison doses,,1160,Frost Giant Jarl,,,,
,24,0,370,1,large greataxe w/ dragon bile; MW silver + cold iron,,armament,Frost Giant Jarl,15,740,18,,370,740,24,Y,,,740,1,large greataxe w/ dragon bile; MW silver + cold iron,24,1161,Frost Giant Jarl,,,,
,0,0,5250,7,dragon bile doses,,contraband,Frost Giant Jarl,20,--,14,,750,1500,,Y,,,not ID'd,7,poison doses,,1162,Frost Giant Jarl,,,,
,0,0,50000,1,"Amulet of Nullity
This heavy golden amulet appears as though it was constructed by weaving a single loop of cable into an intricate knot. The wearer of the amulet immediately knows the command thought required to activate it, but not what it will do.
Projecting the command thought as a standard action will activate a null psionics (and magic) field in a 10 ft radius for 2 hours, with no ability to dismiss. The amulet draws psychic power from the wielder and warps reality around itself in an unnatural and unsettling way. The wielder is Nauseated while the effect is active (can only take one move action each turn), and is Sickened for another 2 hours afterward. Removing the amulet while active Paralyzes the user and whoever is touching the amulet when it is removed for the remainder of the activation. The death of the weilder ends the effect immediately.
Strong Psychokinesis; ML 12th; Craft Universal Item, null psionics field; Price 100,000 gp; Weight 2 lb.",strong kineticist,jewelry,Frost Giant Jarl,30,--,18,,50000,100000,,Y,,,--,1,IDENTIFIED: amulet of nullity (magic) amulet [strong kineticist],,1163,Frost Giant Jarl,,,,
,0,0,3575,1,+2 large full plate ,moderate abjuration,armament,Frost Giant Jarl,25,--,18,,3575,7150,,Y,,,not ID'd,1,(magic) large full plate [moderate abj],,1164,Frost Giant Jarl,,,,
Phil,0,0,2000,1,cloak of charisma +2,moderate transmutation,garments,Frost Giant Jarl,25,--,10,,2000,4000,,Y,,,not ID'd,1,IDENTIFIED: cloak of charisma +2,,1165,Frost Giant Jarl,Phil,,,
,0,0,6000,1,ring of minor energy resistance (Fire),faint abjuration,jewelry,Frost Giant Jarl,25,--,11,,6000,12000,,Y,,,not ID'd,1,(magic) ring [faint abj],,1166,Frost Giant Jarl,,,,
,0,0,4151,1,"+1 shock dagger, large",moderate evocation,armament,Frost Giant Jarl,25,--,3,,4151,8302,,Y,,,not ID'd,1,"(magic) dagger, large [moderate evocation]",,1167,Frost Giant Jarl,,,,
,0,0,4151,1,"+1 thundering dagger, large",faint necromancy,armament,Frost Giant Jarl,25,--,1,,4151,8302,,Y,,,not ID'd,1,"(magic) dagger, large [faint necromancy]",,1168,Frost Giant Jarl,,,,
Illigrim,4,0,25550,1,"Staff of Fire & Ice [35 charges]
This strong bluewood staff is ornately inlaid with red orichalcum, creating patterns of flame and ice crystals. A crystal of blue ice is embedded in the wood at one end while a pink tourmaline is held by the metal on the other. This staff can be weilded as a +1 Flaming/+1 Frost quarterstaff. 
Moderate Evocation; CL 10th; Craft Staff, Craft Magic Arms and Armor; cone of cold, mass fire shield, wall of ice, wall of fire, orb of cold, orb of fire, fireball; Price 70,506 gp (new); Weight 4 lb.
{
Base values, increase for higher level weilder:
Cone of Cold - 10d6 Cold Cone, 60ft (DC 17; 1c)
Fire Shield, Mass - As Fire Shield (half damage of fire; 1d6+10 Cold to melee attackers; or reverse), 10 rounds, allies within 30ft diameter (DC 17; 2c)
Wall of Ice - 10x 10ft squares or 13ft radius hemisphere; DC 25 STR to break through; 30hp; 10in. thick (DC 16; 2c)
Wall of Fire - 200 ft fire sheet; 50 ft radius circle; 20ft tall; 2d6+10 fire; 2d4 w/i 10ft; 1d4 w/i 20 (DC 16; 2c)
Orb of Cold - 10d6 Cold ranged touch 50ft, no save/SR, Fort DC 16 or blinded for 1r (DC 16; 1c)
Orb of Fire - 10d6 Fire ranged touch 50ft, no save/SR, Fort DC 16 or dazed for 1r (DC 16; 1c)
Fireball - 10d6 Fire Sphere 20ft radius (DC 14; 1c)
}
",moderate evocation,armament,Frost Giant Sorceress,,,,,25550,51100,4,player,,,,1,"Staff of Fire & Ice [35 charges]
This strong bluewood staff is ornately inlaid with red orichalcum, creating patterns of flame and ice crystals. A crystal of blue ice is embedded in the wood at one end while a pink tourmaline is held by the metal on the other. This staff can be weilded as a +1 Flaming/+1 Frost quarterstaff. 
Moderate Evocation; CL 10th; Weight 4 lb.
cone of cold, orb of cold, orb of fire, fireball; 
2 charges: mass fire shield, wall of ice, wall of fire;
",,1169,Frost Giant Sorceress,Illigrim,,,
,0,0,500,1,+1 cloak of resistance,faint abjuration,garments,Frost Giant Sorceress,25,--,11,,500,1000,,Y,,,not ID'd,1,(magic) cloak [faint abj],,1170,Frost Giant Sorceress,,,,
Burley,0,0,4000,1,+2 ring of protection,moderate abjuration,jewelry,Frost Giant Sorceress,25,--,12,,4000,8000,,Y,,,--,1,+2 ring of protection,,1171,Frost Giant Sorceress,Burley,,,
Cade,0,0,11250,1,"Wand of Lightning Bolts 10th level caster 50 charges,",moderate evocation,equipment,Frost Giant Sorceress,20,--,7,,11250,22500,,Y,,,--,1,"Wand of Lightning Bolts 10th level caster 50 charges,",,1172,Frost Giant Sorceress,Cade,,,
,0,0,1800,1,"Wand of Glitterdust 40 charges,",faint conjuration,equipment,Frost Giant Sorceress,20,--,5,,1800,3600,,Y,,,not ID'd,1,(magic) wand [faint conjuration],,1173,Frost Giant Sorceress,,,,
,0,0,787.5,3,"Scroll: Lightning Bolt 7th level x3,",moderate evocation,equipment,Frost Giant Sorceress,20,--,10,,262.5,525,,Y,,,--,3,Scroll: Lightning Bolt 7th level x3,,1174,Frost Giant Sorceress,,,,
,0,0,75,1,"Scroll: Invisibility,",faint illusion,equipment,Frost Giant Sorceress,20,--,10,,75,150,,Y,,,--,1,Scroll: Invisibility,,1175,Frost Giant Sorceress,,,,
,0,0,62.5,1,"Scroll: Identify,",faint divination,equipment,Frost Giant Sorceress,20,--,11,,62.5,125,,Y,,,--,1,Scroll: Identify,,1176,Frost Giant Sorceress,,,,
,0,0,6.25,1,"Scroll: Read Magic,",faint divination,equipment,Frost Giant Sorceress,20,--,4,,6.25,12.5,,Y,,,--,1,Scroll: Read Magic,,1177,Frost Giant Sorceress,,,,
,0,0,562.5,3,"Scroll: Dispel Magic x3,",faint abjuration,equipment,Frost Giant Sorceress,20,--,8,,187.5,375,,Y,,,--,3,Scroll: Dispel Magic,,1178,Frost Giant Sorceress,,,,
,0,0,375,1,Potion of Cure Serious Wounds,faint conjuration,equipment,Frost Giant Sorceress,20,--,2,,375,750,,Y,,,--,1,Potion of Cure Serious Wounds,,1179,Frost Giant Sorceress,,,,
,0,0,300,2,Potion of Cure Moderate Wounds,faint conjuration,equipment,Frost Giant Sorceress,20,--,10,,150,300,,Y,,,--,2,Potion of Cure Moderate Wounds,,1180,Frost Giant Sorceress,,,,
,0,0,150,1,Potion of Cat's Grace,faint transmutation,equipment,Frost Giant Sorceress,20,--,13,,150,300,,Y,,,--,1,Potion of Cat's Grace,,1181,Frost Giant Sorceress,,,,
,0,0,150,1,Potion of Bull's Strength,faint transmutation,equipment,Frost Giant Sorceress,20,--,2,,150,300,,Y,,,--,1,Potion of Bull's Strength,,1182,Frost Giant Sorceress,,,,
Landorf,0,0,13687.5,1,"Frost Brand
This +3 frost greatsword sheds light as a torch when the temperature drops below 0° F. At such times it cannot be concealed when drawn, nor can its light be shut off.
Its wielder is protected from fire; the sword absorbs the first 10 points of fire damage each round that the wielder would otherwise take.
A frost brand extinguishes all nonmagical fires in a 20-foot radius. As a standard action, it can also dispel lasting fire spells, but not instantaneous effects. You must succeed at a dispel check (1d20 +14) against each spell to dispel it. The DC to dispel such spells is 11 + the caster level of the fire spell.
Strong Evocation; CL 14th; Craft Magic Arms and Armor, dispel magic, ice storm, protection from energy; Price 54,475 gp; Weight 8 lbs.",strong evocation,armament,Frost Giant Sorceress,30,--,3,,13687.5,27375,,Y,,,--,1,"Identified. FROST BRAND (magic) greatsword (medium), sheds light, makes the area around it colder",,1183,Frost Giant Sorceress,Landorf,,,
Duergar Vampire,64,0,200,4,Fire Giant standard-issue greatsword,,armament,Fire Giant Squad,,,,,50,100,16,--,,50,,4,Fire Giant standard-issue greatsword,64,1184,Fire Giant Squad,Duergar Vampire,,,
Sold to Ulthirmbor,400,2160,2400,4,Fire Giant standard-issue half-plate armor,,armament,Fire Giant Squad,15,--,4,0.9,600,1200,100,--,,600,--,4,Fire Giant standard-issue half-plate armor,400,1185,Fire Giant Squad,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,8,0.8,0.8,4,large sacks,,equipment,Fire Giant Squad,12,0.4,19,1,0.2,0.4,2,--,,0.2,1.6,4,large sacks,8,1186,Fire Giant Squad,Sold to Ulthirmbor,,,
Duergar Vampire,8,0,0,1,heart of a fire giant,,corpse,Fire Giant Squad,,,,,0,0,8,--,,0,,1,heart of a fire giant,8,1187,Fire Giant Squad,Duergar Vampire,,,
Duergar Vampire,16,0,0,4,"last will and testament bones
 ""Should I die, return my head, heart, and sack to King Snurre and my kin. You shall be cursed if you fail. [name of giant]""",,equipment,Fire Giant Squad,,,,,0,0,4,--,,0,,4,"last will and testament bones
 ""Should I die, return my head, heart, and sack to King Snurre and my kin. You shall be cursed if you fail. [name of giant]""",16,1188,Fire Giant Squad,Duergar Vampire,,,
Duergar Vampire,4,0,0,1,"commission bone (Kragmor)
""Kragmor Ashenback is commissioned by King Snurre to apprehend trespassers for trial. Cooperate and comply.""",,equipment,Fire Giant Squad,,,,,0,0,4,--,,0,,1,"commission bone (Kragmor)
""Kragmor Ashenback is commissioned by King Snurre to apprehend trespassers for trial. Cooperate and comply.""",4,1189,Fire Giant Squad,Duergar Vampire,,,
Sold to Ulthirmbor,2,2,2,1,scroll/map case and map (Surtalga),,equipment,Fire Giant Squad,12,4,11,1,2,4,2,--,,2,4,1,scroll/map case and map (Surtalga),2,1190,Fire Giant Squad,Sold to Ulthirmbor,,,
Black Stag,0.1,0,0,1,vellum map with notes on route through tunnels,,equipment,Fire Giant Squad,0,0,19,0,0,0,0.1,Y,,0,0,1,vellum map with notes on route through tunnels,0.1,1191,Fire Giant Squad,Black Stag,,,
Sold to Ulthirmbor,1,0.6,0.5,1,ram's horn (Thragg),,equipment,Fire Giant Squad,12,1,10,1.2,0.5,1,1,--,,0.5,1,1,ram's horn (Thragg),1,1192,Fire Giant Squad,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,8,30,30,2,Hell Hound collars,,garments,Fire Giant Squad,12,30,16,1,15,30,4,--,,15,60,2,Hell Hound collars,8,1193,Fire Giant Squad,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,2,2,2,4,"leather bottles, gallon each (partially filled with liquid)",,equipment,Fire Giant Squad,12,--,4,1,0.5,1,0.5,--,,0.5,--,4,"leather bottles, gallon each (partially filled with liquid)",2,1194,Fire Giant Squad,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,16,1,1,2,gallons of fire water alcohol in bottles,,food,Fire Giant Squad,12,--,3,1,0.5,1,8,--,,0.5,--,2,gallons of liquid in bottles,16,1195,Fire Giant Squad,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,76,19,19,19,"hard tack biscuits, large for giants",,food,Fire Giant Squad,12,2,14,1,1,2,4,--,,1,38,19,"hard tack biscuits, large for giants",76,1196,Fire Giant Squad,Sold to Ulthirmbor,,,
Duergar Vampire,10,0,50,20,"nuts, napalm",,equipment,Fire Giant Squad,,,,,2.5,5,0.5,--,,2.5,,20,- 20x nuts (unidentified plant),10,1197,Fire Giant Squad,Duergar Vampire,,,
Sold to Ulthirmbor,12,0.03,0.06,12,torches,,equipment,Fire Giant Squad,12,--,4,0.5,0.005,0.01,1,--,,0.005,--,12,torches,12,1198,Fire Giant Squad,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.1,0.45,0.5,1,flint and steel,,equipment,Fire Giant Squad,12,1,18,0.9,0.5,1,0.1,--,,0.5,1,1,flint and steel,0.1,1199,Fire Giant Squad,Sold to Ulthirmbor,,,
,5,0,25,250,sp,,coin,Fire Giant Squad,0,0.1,13,,0.1,0.1,0.02,Y,,0.1,25,250,sp,5,1200,Fire Giant Squad,,,,
Sold to Ulthirmbor,40,135,150,1,"Chainmail armor - dark iron, permanently blood-stained, MW",,armament,Nightwalker,15,300,19,0.9,150,300,40,--,,150,300,1,"Chainmail armor - dark iron, permanently blood-stained, MW",40,1201,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,100,1417.5,1575,1,"Full Plate armor, large - black iron with bone motifs; MW",,armament,Nightwalker,15,--,2,0.9,1575,3150,100,--,,1575,--,1,"Full Plate armor, large - black iron with bone motifs; MW",100,1202,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,15,76.5,85,1,"Heavy Steel Shield with embossed demon face, MW",,armament,Nightwalker,15,170,16,0.9,85,170,15,--,,85,170,1,"Heavy Steel Shield with embossed demon face, MW",15,1203,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,15,76.5,85,1,"Heavy Steel Shield, MW",,armament,Nightwalker,15,170,15,0.9,85,170,15,--,,85,170,1,"Heavy Steel Shield, MW",15,1204,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,7.5,80,80,1,"Leather armor, small - dyed dark purple, MW",,armament,Nightwalker,15,--,7,1,80,160,7.5,--,,80,--,1,"Leather armor, small - dyed dark purple, MW",7.5,1205,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,2.5,76.5,76.5,1,"Light Wooden Shield, small, MW",,armament,Nightwalker,15,--,2,1,76.5,153,2.5,--,,76.5,--,1,"Light Wooden Shield, small, MW",2.5,1206,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,3,407.7,453,3,Masterwork Dagger,,armament,Nightwalker,15,--,6,0.9,151,302,1,--,,151,--,3,Masterwork Dagger,3,1207,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,1,158.4,176,1,Masterwork Dagger with hidden compartment,,armament,Nightwalker,20,352,17,0.9,176,352,1,--,,176,352,1,Masterwork Dagger with hidden compartment,1,1208,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,16,157.5,175,1,"Masterwork Greatsword, large - blade etched with death runes",,armament,Nightwalker,15,350,15,0.9,175,350,16,--,,175,350,1,"Masterwork Greatsword, large - blade etched with death runes",16,1209,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,8,140.4,156,1,Masterwork Heavy Mace,,armament,Nightwalker,15,--,9,0.9,156,312,8,--,,156,--,1,Masterwork Heavy Mace,8,1210,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,4,137.25,152.5,1,"Masterwork Light Mace, small",,armament,Nightwalker,15,--,7,0.9,152.5,305,4,--,,152.5,--,1,"Masterwork Light Mace, small",4,1211,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,4,135,150,1,"Masterwork Quarterstaff topped with skull, small",,armament,Nightwalker,15,300,19,0.9,150,300,4,--,,150,300,1,"Masterwork Quarterstaff topped with skull, small",4,1212,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,5,140.4,156,1,Masterwork Warhammer - handle wrapped in human leather,,armament,Nightwalker,15,--,3,0.9,156,312,5,--,,156,--,1,Masterwork Warhammer - handle wrapped in human leather,5,1213,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,30,90,100,1,Scale mail armor,,armament,Nightwalker,12,200,7,0.9,100,200,30,--,,100,200,1,Scale mail armor,30,1214,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,1,900,1000,1,"Crystal cage (unique, 2,000 gp)",,art,Nightwalker,30,--,10,0.9,1000,2000,1,--,,1000,--,1,"Crystal cage (unique, 2,000 gp)",1,1215,Nightwalker,Sold to Ulthirmbor,,,
,21.2,0,1060,1060,gp,,coin,Nightwalker,0,1,11,,1,1,0.02,Y,,1,1060,1060,gp,21.2,1216,Nightwalker,,,,
,16.4,0,8200,820,pp,,coin,Nightwalker,0,10,8,,10,10,0.02,Y,,10,8200,820,pp,16.4,1217,Nightwalker,,,,
Myconid garden,1600,0,0,1,Corpse of Large Fire Giant evil cleric of Nerull (11th level),,corpse,Nightwalker,,,,,0,0,1600,--,,0,,1,Corpse of Large Fire Giant evil cleric of Nerull (11th level),1600,1218,Nightwalker,Myconid garden,,,
Myconid garden,200,0,0,1,Corpse of Medium Dwarf Blackguard (9th level),,corpse,Nightwalker,,,,,0,0,200,--,,0,,1,Corpse of Medium Dwarf Blackguard (9th level),200,1219,Nightwalker,Myconid garden,,,
Myconid garden,200,0,0,1,Corpse of Medium Elf Cleric of Erythnul (8th level),,corpse,Nightwalker,,,,,0,0,200,--,,0,,1,Corpse of Medium Elf Cleric of Erythnul (8th level),200,1220,Nightwalker,Myconid garden,,,
Myconid garden,200,0,0,1,Corpse of Medium Mind Flayer wizard (10th level),,corpse,Nightwalker,,,,,0,0,200,--,,0,,1,Corpse of Medium Mind Flayer wizard (10th level),200,1221,Nightwalker,Myconid garden,,,
Myconid garden,25,0,0,1,Corpse of Small Gnome Necromancer Wizard (12th level),,corpse,Nightwalker,,,,,0,0,25,--,,0,,1,Corpse of Small Gnome Necromancer Wizard (12th level),25,1222,Nightwalker,Myconid garden,,,
Myconid garden,25,0,0,1,Corpse of Small Halfling Sorcerer (10th level),,corpse,Nightwalker,,,,,0,0,25,--,,0,,1,Corpse of Small Halfling Sorcerer (10th level),25,1223,Nightwalker,Myconid garden,,,
Myconid garden,25,0,0,1,Corpse of Small Kobold Cleric of Kurtulmak (7th level),,corpse,Nightwalker,,,,,0,0,25,--,,0,,1,Corpse of Small Kobold Cleric of Kurtulmak (7th level),25,1224,Nightwalker,Myconid garden,,,
Myconid garden,25,0,0,1,Corpse of Small Kobold Necromancer Wizard (8th level),,corpse,Nightwalker,,,,,0,0,25,--,,0,,1,Corpse of Small Kobold Necromancer Wizard (8th level),25,1225,Nightwalker,Myconid garden,,,
Myconid garden,3200,0,0,1,"Many, many bones",,corpse,Nightwalker,,,,,0,0,3200,--,,0,,1,"Many, many bones",3200,1226,Nightwalker,Myconid garden,,,
Sold to Ulthirmbor,0.05,1.5,1.25,5,Blank parchment scroll,,equipment,Nightwalker,12,0.5,9,1.2,0.25,0.5,0.01,--,,0.25,2.5,5,Blank parchment scroll,0.05,1227,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,3,9,7.5,1,Blank spellbook - necromancy themed,,equipment,Nightwalker,15,--,8,1.2,7.5,15,3,--,,7.5,--,1,Blank spellbook - necromancy themed,3,1228,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,6,18,15,2,Blank spellbook – leather bound,,equipment,Nightwalker,15,--,1,1.2,7.5,15,3,--,,7.5,--,2,Blank spellbook – leather bound,6,1229,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,2,400,400,1,Bone dust and rare spell components (800 gp worth),,equipment,Nightwalker,20,--,5,1,400,800,2,--,,400,--,1,Bone dust and rare spell components (800 gp worth),2,1230,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.4,12,10,4,Carved wooden wand,,equipment,Nightwalker,15,5,14,1.2,2.5,5,0.1,--,,2.5,20,4,Carved wooden wand,0.4,1231,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.4,450,500,4,Diamond dust for stoneskin (4x),,equipment,Nightwalker,25,--,20,0.9,125,250,0.1,--,,125,--,4,Diamond dust for stoneskin (4x),0.4,1232,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.07,3.15,3.5,7,Empty potion vials,,equipment,Nightwalker,15,--,4,0.9,0.5,1,0.01,--,,0.5,--,7,Empty potion vials,0.07,1233,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,0.5,0.05,0.05,1,Large leather sack,,equipment,Nightwalker,12,0.1,19,1,0.05,0.1,0.5,--,,0.05,0.1,1,Large leather sack,0.5,1234,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,5,25,25,1,Leather backpack - well-made with multiple pockets,,equipment,Nightwalker,15,50,13,1,25,50,5,--,,25,50,1,Leather backpack - well-made with multiple pockets,5,1235,Nightwalker,Sold to Ulthirmbor,,,
Sold to Ulthirmbor,2,202.5,225,1,Platinum censers and ritual implements (450 gp),,equipment,Nightwalker,20,450,17,0.9,225,450,2,--,,225,450,1,Platinum censers and ritual implements (450 gp),2,1236,Nightwalker,Sold to Ulthirmbor,,,
